address,label,tier,weight,twitter
6LChaYRYtEYjLEHhzo4HdEmgNwu2aia8CM8VhR9wn6n7,Assassin,A,2,assasin_eth
99i9uVA7Q56bY22ajKKUfTZTgTeP5yCtVGsrG9J4pDYQ,Zrool,A,2,zrool
7rxyLczJthc3s9SDtw5WaQ1bzcsSdChkbDQFUMFSN6zN,Kev,A,2,kevmoney
9cD5EmRTp4vV9BhiyCVyuo3mZq49ofHeeauiRYvfaSpn,Theo,A,2,theonomix
2quzLQqUUTZZQf5FF5cFX1zpjvjcXsHpGxn41njWPBVs,Dust,A,2,dustinsol
FsYBwYi9rbcxBqY7KiCGfhCTkB8xPEXqoVzi4xqjjw6C,Yolo,A,2,yolo
a16ZRRPYzkCgED9ECcFd9vdrFzW775Z2DqmAEsSZDGE,Ethan,A,2,ethancooks
3jEWWG1patKqcwdD5qYJTtJPmBbsq6HLg4e2QA6TW8kE,Oscar,A,2,oscarsol
CX6Gr1uZ3Daj2piEgnKZykHGoW3GpKABF9rBj8PDxgN5,Tere,A,2,tere
HNyzPTo35sqxrwt98YV6N1SnhV29Sbm6rv2Xyfg7Rn9V,Weaver,A,2,weaverfi
fCbc2do6QcQHHMDcMP7eQbdB6r8HCwXJoJkJQmgHoz3,Monki,A,2,cryptomonki
BtYhnq6vCeQvfims1DemzhtKLEKU8Tt2mJWcAGjwry2u,Bandit,A,2,bandit
GvD5HiZuNcZvny8zhUXStLwEiWmA2spbikj22wEN5LYR,Kreo,A,2,kreo
AVdxekuYs2VRou4jw6tWRUanJp2NwT58mgxPbXstZ5xC,Scharo,A,2,scharo
2YJbcB9G8wePrpVBcT31o8JEed6L3abgyCjt5qkJMymV,Al4n,A,2,al4nsol
FpD6n8gfoZNxyAN6QqNH4TFQdV9vZEgcv5W4H2YL8k4X,Hesi,A,2,hesi
87MZqjjJgpuFvaU8GyQJKbZGnCFFhX82qAjBGLRXPfcn,Nyhrox,A,2,nyhrox
2CXbN6nuTTb4vCrtYM89SfQHMMKGPAW4mvFe6Ht4Yo6z,MoneyMaykah,A,2,moneymaykah_
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP,OGAntD,A,2,ogantd
ApRnQN2HkbCn7W2WWiT2FEKvuKJp9LugRyAE1a9Hdz1,Solcrow,A,2,solcrow
8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,Cooker,A,2,cookerflips
4V91ZLynwdwXh9rAP8iF1LCqoQ5j4ShyZSpt6jHwo1bm,Rookiexbt,B,1.4,rookieXBT
5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz,Smokez,B,1.4,smokez
domyBHx7zVCpGokDc8DGmY8fsTZeQnh2CEmKCPBSoSp,Domy,B,1.4,domy
CjGPYbLwqtmMxxPrAuykPnp3yx6RQ5eVLkuKuts22StW,Henn,B,1.4,henn100x
3uz65G8e463MA5FxcSu1rTUyWRtrRLRZYskKtEHHj7qn,Felix,B,1.4,felix
AkKHWpsHwV4cXJFhAKWpBPHQ4D6WXiGqE1cs6EEbtwoA,Cloux,B,1.4,cloux
3wwG9EwbAg3HP6DPsbvBn9up9NBWptKw1hey415veLDy,Trax,B,1.4,trax
AQREi4dGVk9X4cuckX87pwnsrFtgdDSkfSoRfCaUtqYP,Villain,B,1.4,cryptovillain
6tRZkbqwy99hWuExk8TnKYpUHHcQ6jb4FjnNwjh4RkHY,Keanu,B,1.4,keanu
2chiHDTdMSWCeodHSvXcUa2JV8jG6pLjDBBwBuhMheoK,Shadow,B,1.4,shadow
Dk4na3gi8HYrrnFDcRgVfET23Ltm7AxbzvPpGyHaXwQJ,Uber,B,1.4,uber
Af9wyMrK565y7zmtuvSHB5UtahcSejPejcTfx6gc4PZv,Casino,B,1.4,
217eqTqtPzHUm4gwW7Yj26dCdb6VPJ3ATPXD7sQvtitT,Marcell,B,1.4,marcell
6nnBeK1mLgdrBZFfXYKmGkuDHYTrBZZ18YEQfNUih9nm,Mark,B,1.4,mark
D7xK1ZLz8KQNWN8aU1jbzNAuT5xwqgFrCUUYodVU4G42,JackDuval,B,1.4,jackduval
FDV7kPFhYUsJwXhrNsMDd35EdBAfR72rf1fkBqgaNEEj,Rayan,B,1.4,rayan
xyzfhxfy8NhfeNG3Um3WaUvFXzNuHkrhrZMD8dsStB6,Gasp,B,1.4,gasp
VKDgnZrJgGncSdDQCPKLdRFakDNJe5goixba1Ud42dS,Lowkey,B,1.4,lowkey
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9,Ghostee,B,1.4,gh0stee
BoYHJoKntk3pjkaV8qFojEonSPWmWMfQocZTwDd1bcGG,Betman,B,1.4,betman
2pqWJYji5hrMiiBd5prZz2A6Mn1w5R3RaebU8YeThp57,Dvces,B,1.4,dvces
CgmwCcCoF5YNhWrVBz2R2iH4MopfvYLfxLgSZsrnemi6,Otta,B,1.4,otta
CquHYbTn95ouAcXVRSiv27XdJX2PQnkrYd3deWzwHaYL,Spuno,B,1.4,spuno
BN9bFo7Dh4zS22x3mr7NPQsJsxrMu7b44NbhXXAJZQ6S,Porta,B,1.4,portapog
3NzhtFBULFCyvXTboAcFg6G5b9oS92cSfGtMSbhcWNCu,Emma,B,1.4,emma
7bdDfMb5JrasU3jrgmV8BME7ocmDu3u1H2SCSW5MQBqF,WaiterG,B,1.4,waiterg
48tnDo3bgKJW1iDhdMGSJq54N9Uv5pNixqGcF1yVC9JJ,Realist,B,1.4,realist
Hy9pUoWVs6BoE6MkxiCVQMh9LvMqyLPSAX3aCJVbe7sB,Adam,B,1.4,adam
AVjEtg2ECYKXYeqdRQXvaaAZBjfTjYuSMTR4WLhKoeQN,Putrick,B,1.4,putrick
GiTjPLMYngDKZYxyc2MBFBwsS1Zt3NBCjJtAgsGb3AJv,Flames,B,1.4,flames
6ZHZudndQBYF6LMbfgVshCgrvKyrWXh2FehJFQFYZXTv,KryptoKing,B,1.4,kryptoking
CDKJ35ZD9jHivyEa3fMbxZSNrTERAS3CbrJbj4vP9f82,Bronskee,B,1.4,bronskee
m7Kaas3Kd8FHLnCioSjCoSuVDReZ6FDNBVM6HTNYuF7,Ferb,B,1.4,ferb
AQ46kfYT3hW28Xg5gWHrJkzFSz1oGWBHC3FsTbqgMEco,Yugi,B,1.4,yugi
GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65,LatucheFR,C,1,latuchefr
Ab2baaggUWJMsVUtCvpRjq6iBRDk2Lxr5qzicHueHxM1,LeykoFR,C,1,leykofr
H68thDmYazXf1YqRhyaY3N1oA8xAPcaaeT2hJLGcgohQ,Soloxbt,C,1,soloxbt
Du1VZiTFX7yBwius4ZvhZRg69KeVnQwRbPvxY1mRuTE1,Solxbt,C,1,solxbt
GY1CSVXTwJ985czPq9WEvFsjmprLgoGyxgSPv5g1dtw2,Tristi,C,1,tristidegen
7tiRXPM4wwBMRMYzmywRAE6jveS3gDbNyxgRrEoU6RLA,Qtdegen,C,1,qtdegen
86aD8K2bszxPemgHifvsC4vYkjfvawkSejdExx7KZUA7,Zenko,C,1,zenko
GTvBQnRvAPweU2qmYg8MDLND2PAAyYFKe35aKQGMRDaL,Polar,C,1,polar
4Cb7A9Xuhv2Nnuk5vZ1xhnKkhDLnYjeZekzHv2zT5jjh,Argan,C,1,argan
6oRffJ7gwusToVfF1Sfbtd7Nf2TjcFFS4419ya34En5d,Witloof,C,1,witloof
EoN2ef1hPAT9WCw6gjkgp6922WvagdCcjkJGkXqB33aW,Owen,C,1,owen
5TuiERc4X7EgZTxNmj8PHgzUAfNHZRLYHKp4DuiWevXv,Rev,C,1,rev
mercyjp6vpa75nLGdz2jsTSp1qd9DiUQbMfT3i2QP8v,Theonomix,C,1,theonomix
J9mnzdvz2yd3gPMq5pwNtcYPchHpKJaafEaAcksVc9Kf,Lupeer,C,1,lupeer
9FNz4MjPUmnJqTf6yEDbL1D4SsHVh7uA8zRHhR5K138r,Danny,C,1,danny
7UXBndtoSvocixoqk4ZvGqQJp7W3quSfd43A1QXd4fzK,Jalen,C,1,jalen
HL3FZ8XWnLnn1HuktmgpNRyFRjuAxWbXNQVj5fPPzZwt,Beepus,C,1,beepus
ASAvw3GfTVH8CYnruEFLLYNkUP5tPLLGs4vU49P4tcj9,Alex,C,1,alex
9K18MstUaXmSFSBoa9qDTqWTnYhTZqdgEhuKRTVRgh6g,Sabby,C,1,sabby
62FZUSWPMX9pofoV1uWHMdzFJRjwMa1LHgh2zhdEB7Zj,Blossom,C,1,blossom
6TAXiK1fT87LrYNWd4Likpe9hkXHreLyCNvUCBVR1uVK,Carlos,C,1,carlos
GNrmKZCxYyNiSUsjduwwPJzhed3LATjciiKVuSGrsHEC,Giann,C,1,giann
EjtQrPTbcMevStBkpnjsH23NfUCMhGHusTYsHuGVQZp2,Zef,C,1,zef
EKDDjxzJ39Bjkr47NiARGJDKFVxiiV9WNJ5XbtEhPEXP,Youniz,C,1,youniz
DZAa55HwXgv5hStwaTEJGXZz1DhHejvpb7Yr762urXam,Ozark,C,1,ozark
3kebnKw7cPdSkLRfiMEALyZJGZ4wdiSRvmoN4rD1yPzV,Bastille,C,1,bastille
6Qs6joB349h7zu1z9xRgPgMSmpBYLDQb2wtAecY4LysH,Chefin,C,1,chefin
AJ6MGExeK7FXmeKkKPmALjcdXVStXYokYNv9uVfDRtvo,Tim,C,1,tim
